class_id,object_count,black,blue,brown,gray,green,orange,pink,purple,red,white,yellow
/m/06q40,18757149,2981548,1040331,96835,297494,99445,87883,21224,60428,133835,1079294,168605
/m/06qqb,116010466,314798,363599,55069,85266,33249,5358,1434,2088,54598,81713,10354
/m/06vrz,59576821,128620,72871,44550,26954,245325,16948,52572,7474,118552,377252,87988
/m/06x4c,40878729,70266,22244,6154244,8548,50885,18859,46121,5501,48152,2740705,62215
/m/06y5r,7920639,95884,51577,8776,3953,33949,696,608,3751,79819,45069,4704
/m/06z37_,2985120,5421,768,0,0,424,0,0,0,360,2116,816
/m/07030,386641,284,0,594,0,0,0,324,0,444,1036,0
/m/0703r8,7893,324,1030,590,294,1064,270,714,230,1190,1476,334
/m/071p9,4412833,90473,28954,2296,2504,8562,4152,5588,2688,22180,18120,7056
/m/071qp,2939938,172790,5960,37294,1085393,2124,890,8479,2222,1141895,38783,1844
/m/073bxn,732683,6208,312,842,320,416,1130,0,0,4144,5956,1108
/m/074d1,6184837,5460,2734,230,1400,2417,1824,1080,487,6652,1592,198531
/m/0755b,1632174,79030,5952,5126,584,3680,260,556,280,29269,4948,10526
/m/076bq,86031,0,0,0,0,0,0,0,0,0,0,0
/m/078jl,12229905,823033,49673,205533,17553,345619,4447,8368,7504,68926,194745,70899
/m/078n6m,6195087,10120,600,4344,0,824,0,480,0,552,6424,432
/m/079cl,440970,3994,1480,318,2518,5003,0,456,0,744,7908,224
/m/07_0xk,3017376,299746,6618,119395,0,17853,2087,98,3180,9844,350388,210468
/m/07bgp,15576871,2072560,66839,38718,10279,22172,408,3974,1864,32678,340230,9849
/m/07c52,35249840,44910,4656,2268,18872,4472,1600,288,0,3574,361211,440
/m/07clx,20015870,1411239,21950,32404,7039,3082720,20440,101299,3107,51493,127183,50014
/m/07cmd,21217924,139849,52996,13008,15088,38983,10440,42394,10798,93262,247339,24640
/m/07crc,1187962,0,0,0,0,2261,0,3144,0,793,187,0
/m/07cx4,110459500,69558,7288,25736,22166,28121,8574,12970,868,85424,59556,7516
/m/07dm6,12613863,214894,32307,12908,8628,48379,18431,3509,5006,40971,440985,34011
/m/07fbm7,6922032,4204,3943,1010,154,14416,6279,7884,1442,84633,30384,4766
/m/07gql,3214001,33858,18002,1096,0,2328,11807,18026,7643,21930,90403,91805
/m/07j7r,51016956,357473,70409,227748,73552,2452205,2697875,15048,28292,132510,156205,77616
/m/07j87,8084765,3456,3580,2714,0,696111,12718,30285,7340,259574,7219,89286
/m/07jdr,22965907,63931,173898,7346,3142,20348,5729,3737,7186,41368,61611,14837
/m/07kng9,759768,0,0,400,0,0,0,0,0,0,0,0
/m/07mcwg,12297,0,0,0,0,0,0,0,0,0,0,0
/m/07mhn,8219759,646820,368100,109208,169779,86566,7270,19490,17676,160021,550838,42169
/m/07qxg_,208187,368,560,0,0,0,0,0,0,420,1240,0
/m/07r04,47581436,118527,87311,35789,18964,84875,15805,2870,4714,194712,401368,146275
/m/07v9_z,1069670,0,0,0,0,0,0,0,0,0,0,0
/m/07xyvk,26986,192,0,0,0,0,0,0,0,0,180,0
/m/07y_7,5154066,6480,2300,4665,0,1976,0,452,0,21166,3341,2844
/m/07yv9,185763702,50842,16498,7304,5240,35247,2944,636,584,26880,42219,18996
/m/080hkjn,4276070,48158,6048,9281,780,3700,728,4960,1706,14952,16092,3012
/m/080n7g,580528,0,0,0,0,0,0,0,0,0,0,0
/m/081qc,21359222,72324,21652,10448,1636,65590,61343,48653,59597,8099015,7291235,72940
/m/0838f,1134253628,1969848,4121115,680828,392381,1558671,91023,74740,62505,656748,2490091,459602
/m/083kv,93735681,279633,62524,32229,15627,143778,20591,8901,9568,132623,181671,49293
/m/083vt,134604417,468188,62697,357228,72714,1676360,55212,9542,27512,438610,702232,319888
/m/083wq,26354887,45011,17177,5196,5620,16628,12736,2916,2154,195316,35184,41135
/m/084hf,16935832,62784,13234,32370,11438,126133,23174,23102,9060,210391,282950,20362
/m/084sq,30833263,450320,54222,40465,1231656,13385,356,276,344,547374,612051,126764
/m/084zz,12462103,77754,1173402,1982,1059768,5384,573,3553,1660,9078,964195,1441
/m/0898b,1248286,6323,5912,926,450,12394,380,2421,1598,3358,14762,2650
/m/08dz3q,3321642,0,0,0,0,0,0,0,0,0,0,0
/m/08hvt4,1306802,14450,30222,248070,2546,10184,862,1288,716,9224,37306,8051
/m/08ks85,64019,0,0,0,0,0,0,0,0,0,0,0
/m/08p92x,15379659,7325,13526,12119,3370,11160,66516,18092,2166,11156,143215,62793
/m/08pbxl,5868689,83837,99013,37803,18846,464688,3638,7906,8555,57125,104988,35137
/m/096mb,19181125,322100,95277,6058,4198,72634,2915,2796,4164,2953623,568941,44494
/m/09728,12788428,942970,6455,1353769,10340,13268,21429,5960,578,33303,3233081,11118
/m/09759,43652605,124709,3912,2233407,1960,154640,23379,7398,7770,432269,1255165,130042
/m/099fz,40474368,1368100,108988,719973,727583,1091943,127248,111047,24060,1009956,5411743,1337157
/m/099ssp,6160436,2386,13056,1992,400,3822,340,842,188,1820,15372,3252
/m/09b5t,20465824,57410,8342,112972,2628,23057,42573,3899,2104,58241,176285,31388
/m/09csl,28313328,912338,367506,38010,244892,30789,2898,868,4088,445248,795156,24848
/m/09ct_,28736141,77059,5228,524,1788,9196,2548,866,268,8096,14085,4628
/m/09d5_,20207167,21722,15620,138217,249771,4017,2201,1424,2268,209988,359839,9402
/m/09ddx,10701746,1222194,104856,72591,44304,39903,7807,4221,1934,19435,507745,49532
